Level,Appeal Type,Country,ISO3 Code,Organisation,Appeal Name,Start Date,End Date,Duration (days),Original Requirement,Revised Requirement,Revision Date,Comment,Link
Global,Health Response,Global,,WHO,WHO SPRP,1/1/2020,4/1/2020,90,675000000,,,,
Global,Humanitarian Response,Global,,UNICEF,UNICEF,2/1/2020,,270,42000000,651000000,,,
Global,Humanitarian Response,Global,,IOM,IOM,2/1/2020,8/1/2020,180,17000000,116000000,,"over USD 43.4 million are to cover interventions in Eastern, Western and Southern Africa; more than USD 24.5 million are to be dedicated to the Asia-Pacific region; more than USD 17 million are for the Middle East and Northern Africa; over USD 13.6 million are for the Americas and, the remainder will support activities in Europe and Central Asia, as well as global interventions.",
Global,Humanitarian Response,Global,,UNHCR,UNHCR,3/8/2020,,,33000000,255000000,,,
Global,Humanitarian Response,Global,,UNRWA,UNRWA,3/17/2020,6/1/2020,90,14000000,,,,
Global,Humanitarian Response,Global,,WFP,WFP,3/29/2020,,90,1900000000,,,WFP is appealing to government partners to accelerate an estimated $1.9 billion of contributions to enable the urgent procurement and pre-positioning of buffer stocks so that at least three months of assistance can be provided in fragile places.,
Global,Humanitarian Response,Global,,OCHA,OCHA GHRP,3/26/2020,12/12/2020,270,2010000000,,,"FAO 110 M
 IOM 100 M
 UNDP 120 M
 UNFPA 120 M
 UN Habitat 2M
 UNHCR 255 M
 UNICEF 405 M
 WFP 350 M
 WHO 450 M
 NGOs 100 M",
Global,Socio-economic Framework,Global,,DCO,DCO Economic Plan,,,,,,,,
Global,Humanitarian Response,Global,,UNFPA,UNFPA,3/19/2020,4/30/2020,60,67000000,,,,
Country,Humanitarian Response,Afghanistan,AFG,HCT,,3/24/2020,,,108100000,,,The HCT's COVID19 Multi-Sector Country Plan April ask is $108m for 3 months. This is expected to increase in the May update to $324m to cover through end 2020.,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/covid-19_multi-sector_country_plan_afghanistan_final.pdf
